Order Id,Order Date,Ship Date,Customer Id,Customer Name,Customer Segment,Product Id,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount %,Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Reorder Point,Auto Reorder,Reorder Quantity
ORD1000,10-10-2024,16-10-2024,CUST1271,Elijah Bobal,Corporate,PROD1004,Dining Table,Furniture,North,Tamil Nadu,Bally,8,13253,5,100722.8,4559.47,64247.04,Net Banking,Delivered,Khosla and Sons,bhagatcaleb@gaba-ravi.com,53,23,No,0
ORD1001,13-11-2024,15-11-2024,CUST1279,Gagan Raj,Consumer,PROD1008,File Folder,Office Supplies,North,Uttar Pradesh,Tadipatri,4,1640,0,6560.0,1112.22,2111.12,Net Banking,Pending,Majumdar-Kala,ykhanna@anne-rama.net,87,28,No,0
ORD1002,15-08-2023,19-08-2023,CUST1139,Wakeeta Date,Home Office,PROD1014,Monitor,Electronics,North,Goa,Begusarai,2,7430,20,11888.0,2466.9,6954.2,Net Banking,Delivered,Bawa LLC,xpant@nadkarni.com,55,27,No,0
ORD1003,12-05-2024,17-05-2024,CUST1287,Brijesh Bakshi,Consumer,PROD1016,Cooking Oil,Grocery,West,Uttar Pradesh,Howrah,9,4479,0,40311.0,2868.85,14491.35,UPI,Delivered,Mann LLC,gilljhalak@dhaliwal.com,13,25,Yes,47
ORD1004,27-10-2025,30-10-2025,CUST1056,Balvan Thakur,Corporate,PROD1002,Sofa,Furniture,North,Bihar,Morena,4,10208,0,40832.0,6313.28,15578.88,UPI,Delivered,"Mistry, Sarkar and Madan",lataanmol@varughese-lanka.net,86,19,No,0
ORD1005,10-03-2023,15-03-2023,CUST1297,Arjun Murthy,Corporate,PROD1005,Pen,Office Supplies,West,Nagaland,Junagadh,4,5109,10,18392.4,1994.08,10416.08,Cash,Pending,Swaminathan PLC,jaichopra@nadig-dube.net,76,18,No,0
ORD1006,29-01-2023,31-01-2023,CUST1018,Lucky Grewal,Corporate,PROD1014,Monitor,Electronics,West,Andhra Pradesh,Moradabad,10,7430,5,70585.0,2466.9,45916.0,Net Banking,Returned,Hari-Sehgal,harishrege@karpe.net,55,27,No,0
ORD1007,01-04-2023,04-04-2023,CUST1215,Pahal Chowdhury,Home Office,PROD1016,Cooking Oil,Grocery,North,Maharashtra,Karawal Nagar,5,4479,15,19035.75,2868.85,4691.5,Net Banking,Delivered,"Amble, Bhargava and Rau",warindersharaf@ramanathan.com,13,25,Yes,47
ORD1008,19-09-2025,23-09-2025,CUST1242,Vivaan Chandra,Consumer,PROD1004,Dining Table,Furniture,North,Sikkim,Aligarh,10,13253,15,112650.5,4559.47,67055.8,Cash,Returned,Arya-Malhotra,jeremiah96@de.com,53,23,No,0
ORD1009,02-12-2024,08-12-2024,CUST1003,Falan Aurora,Consumer,PROD1006,Notebook,Office Supplies,West,Chhattisgarh,Shimoga,10,12362,5,117439.0,4997.68,67462.2,Credit Card,Cancelled,Ben Ltd,gunbir50@kuruvilla.com,100,24,No,0
ORD1010,27-02-2025,02-03-2025,CUST1209,Zehaan Seth,Corporate,PROD1014,Monitor,Electronics,West,Rajasthan,Gudivada,2,7430,15,12631.0,2466.9,7697.2,Credit Card,Returned,"Rajagopalan, Bains and Shere",mwalia@chhabra.net,55,27,No,0
ORD1011,10-05-2023,11-05-2023,CUST1261,Janani Sama,Corporate,PROD1016,Cooking Oil,Grocery,East,Chhattisgarh,Warangal,8,4479,5,34040.4,2868.85,11089.6,Cash,Cancelled,Dube-Mander,vchoudhry@dhar.com,13,25,Yes,47
